,agglomerative_clustering_c2,agglomerative_clustering_c3,agglomerative_clustering_c4,birch_c2,birch_c3,birch_c4,kmeans_c2,kmeans_c3,kmeans_c4,minibatch_kmeans_c2,minibatch_kmeans_c3,minibatch_kmeans_c4,spectral_clustering_c2,spectral_clustering_c3,spectral_clustering_c4,mean_shift,dbscan,optics,suspected_bot
Damtiff,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Call_rizvert,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,-1,-1,-1
californium,0,0,1,0,1,0,1,2,1,1,2,3,0,0,0,0,0,-1,-1
CaIIM3Daddy,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
CAESAR1984,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,42,-1
CachaLibre,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,4,-1
Darkscottie,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,44,-1
DarkLuneau,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
darkevilxd,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Dark6810,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,39,-1
dariobened13,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Daradaniels,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,43,-1
Dancorto,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Dan9352,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Damiyou11,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,-1,-1
Cyxon,0,0,1,0,1,0,0,0,2,0,1,3,0,0,0,0,0,-1,-1
dami665,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
dameveneno18,0,0,1,0,1,0,1,1,1,1,1,3,0,0,0,0,0,-1,-1
DamDamDeep,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Dallas598,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,51,-1
Dalilou13015,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
DaLD,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
DaKKeR,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
daisna,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Dain6969,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,58,-1
dadool,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,28,-1
dadapop974,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
Dada84068,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
D.25031987,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
SRFC_en_LDC,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
stack_nice,0,0,3,0,2,2,0,2,3,0,2,2,1,0,0,1,0,68,-1
pedrolit000,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Staff.93,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Titusbramble,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
titroro,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Titolin75,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
titi84330,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Titeuf0713,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Tite-bouille,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,2,-1,-1,-1
Tirofij047,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,28,-1
TioGi1,0,0,3,0,2,2,1,2,1,1,2,2,0,0,0,1,-1,-1,-1
tino83,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
tingtongba,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
TinaTurn974,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
TimpeWinamaX,0,0,1,1,0,1,0,2,3,0,2,3,0,0,0,0,0,-1,-1
Timex85,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
TimeSlide749,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,0,66,-1
FONIKID,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
FolieDouce21,0,0,1,0,2,2,0,2,3,0,2,2,0,0,0,0,-1,-1,-1
FoldAces,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,-1,-1,-1
Fold77,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
FolD4VaLuE,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
folchh12,0,0,1,1,0,1,0,0,2,1,1,3,0,0,0,0,0,-1,-1
FocusOMG,0,0,1,1,0,1,1,1,0,1,0,3,0,0,0,0,0,-1,-1
Focus,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
flynn2,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
flo_ngy,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
Flower1970,0,0,1,0,1,0,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Florian143,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,51,-1
Flooo34170,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
FloMass92,0,0,3,0,2,2,0,2,3,0,2,2,1,0,0,1,0,68,-1
flofloflo666,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ti_james.,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,43,-1
Tmmmmmmmmmmm,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,5,-1
Tnes,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
JDP95,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
PBR07,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,29,-1
JesousBruins,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
